Kode Kecamatan,Kecamatan,Kode Kelurahan,Kelurahan,Jumlah Keluarga Miskin,Jumlah Individu
32.73.05,Andir,32.73.05.1006,Campaka,2553,7328
32.73.05,Andir,32.73.05.1003,Ciroyom,3443,10205
32.73.05,Andir,32.73.05.1002,Dungus Cariang,3125,8710
32.73.05,Andir,32.73.05.1005,Garuda,1666,4812
32.73.05,Andir,32.73.05.1004,Kebon Jeruk,1537,3875
32.73.05,Andir,32.73.05.1001,Maleber,2948,8388
32.73.20,Antapani,32.73.20.1005,Antapani Kidul,1683,4248
32.73.20,Antapani,32.73.20.1001,Antapani Kulon,1127,2997
32.73.20,Antapani,32.73.20.1004,Antapani Tengah,2065,5469
32.73.20,Antapani,32.73.20.1006,Antapani Wetan,2101,5779
32.73.24,Arcamanik,32.73.24.1002,Cisaranten Bina Harapan,2066,5883
32.73.24,Arcamanik,32.73.24.1004,Cisaranten Endah,2437,6967
32.73.24,Arcamanik,32.73.24.1003,Cisaranten Kulon,2636,7036
32.73.24,Arcamanik,32.73.24.1001,Sukamiskin,2001,5448
32.73.10,Astanaanyar,32.73.10.1005,Cibadak,1709,4638
32.73.10,Astanaanyar,32.73.10.1003,Karang Anyar,590,1439
32.73.10,Astanaanyar,32.73.10.1001,Karasak,1730,4881
32.73.10,Astanaanyar,32.73.10.1002,Nyengseret,2029,5694
32.73.10,Astanaanyar,32.73.10.1004,Panjunan,1110,3185
32.73.10,Astanaanyar,32.73.10.1006,Pelindung Hewan,2290,6112
32.73.03,Babakan Ciparay,32.73.03.1002,Babakan,5430,15472
32.73.03,Babakan Ciparay,32.73.03.1001,Babakan Ciparay,4798,13093
32.73.03,Babakan Ciparay,32.73.03.1006,Cirangrang,1864,5325
32.73.03,Babakan Ciparay,32.73.03.1004,Margahayu Utara,3108,8344
32.73.03,Babakan Ciparay,32.73.03.1005,Margasuka,2161,6036
32.73.03,Babakan Ciparay,32.73.03.1003,Sukahaji,5528,16123
32.73.21,Bandung Kidul,32.73.21.1001,Batununggal,2377,6191
32.73.21,Bandung Kidul,32.73.21.1004,Kujangsari,2943,8271
32.73.21,Bandung Kidul,32.73.21.1003,Mengger,1103,2859
32.73.21,Bandung Kidul,32.73.21.1002,Wates,1397,3671
32.73.15,Bandung Kulon,32.73.15.1004,Caringin,963,2709
32.73.15,Bandung Kulon,32.73.15.1002,Cibuntu,2571,6644
32.73.15,Bandung Kulon,32.73.15.1005,Cigondewah Kaler,3376,9610
32.73.15,Bandung Kulon,32.73.15.1008,Cigondewah Kidul,1130,3096
32.73.15,Bandung Kulon,32.73.15.1007,Cigondewah Rahayu,1458,3839
32.73.15,Bandung Kulon,32.73.15.1001,Cijerah,3677,9980
32.73.15,Bandung Kulon,32.73.15.1006,Gempol Sari,2147,5478
32.73.15,Bandung Kulon,32.73.15.1003,Warung Muncang,4060,11611
32.73.09,Bandung Wetan,32.73.09.1001,Cihapit,106,247
32.73.09,Bandung Wetan,32.73.09.1003,Citarum,96,240
32.73.09,Bandung Wetan,32.73.09.1002,Taman Sari,3008,7882
32.73.12,Batununggal,32.73.12.1008,Binong,2855,7675
32.73.12,Batununggal,32.73.12.1003,Cibangkong,2510,6387
32.73.12,Batununggal,32.73.12.1001,Gumuruh,2448,6465
32.73.12,Batununggal,32.73.12.1004,Kacapiring,1431,3789
32.73.12,Batununggal,32.73.12.1006,Kebon Gedang,1525,3968
32.73.12,Batununggal,32.73.12.1005,Kebon Waru,2709,7637
32.73.12,Batununggal,32.73.12.1002,Maleer,3309,8918
32.73.12,Batununggal,32.73.12.1007,Samoja,2261,6110
32.73.04,Bojongloa Kaler,32.73.04.1004,Babakan Asih,2944,8421
32.73.04,Bojongloa Kaler,32.73.04.1002,Babakan Tarogong,5711,17219
32.73.04,Bojongloa Kaler,32.73.04.1003,Jamika,5224,15274
32.73.04,Bojongloa Kaler,32.73.04.1001,Kopo,6170,18772
32.73.04,Bojongloa Kaler,32.73.04.1005,Suka Asih,3861,11852
32.73.17,Bojongloa Kidul,32.73.17.1003,Cibaduyut,2062,5596
32.73.17,Bojongloa Kidul,32.73.17.1005,Cibaduyut Kidul,1535,4049
32.73.17,Bojongloa Kidul,32.73.17.1006,Cibaduyut Wetan,983,2634
32.73.17,Bojongloa Kidul,32.73.17.1002,Kebon Lega,2897,7529
32.73.17,Bojongloa Kidul,32.73.17.1004,Mekar Wangi,1850,4676
32.73.17,Bojongloa Kidul,32.73.17.1001,Situsaeur,3108,8405
32.73.22,Buahbatu,32.73.22.1003,Cijaura,3620,9936
32.73.22,Buahbatu,32.73.22.1004,Jati Sari,748,2014
32.73.22,Buahbatu,32.73.22.1002,Margasari,4922,13451
32.73.22,Buahbatu,32.73.22.1001,Sekejati,2157,5701
32.73.18,Cibeunying Kaler,32.73.18.1004,Cigadung,3765,10029
32.73.18,Cibeunying Kaler,32.73.18.1001,Cihaurgeulis,1488,3941
32.73.18,Cibeunying Kaler,32.73.18.1003,Neglasari,1219,3109
32.73.18,Cibeunying Kaler,32.73.18.1002,Sukaluyu,1489,3839
32.73.14,Cibeunying Kidul,32.73.14.1003,Cicadas,1950,5148
32.73.14,Cibeunying Kidul,32.73.14.1002,Cikutra,3916,11293
32.73.14,Cibeunying Kidul,32.73.14.1001,Padasuka,2609,6975
32.73.14,Cibeunying Kidul,32.73.14.1006,Pasirlayung,2558,6620
32.73.14,Cibeunying Kidul,32.73.14.1004,Sukamaju,1481,3960
32.73.14,Cibeunying Kidul,32.73.14.1005,Sukapada,2757,6993
32.73.25,Cibiru,32.73.25.1003,Cipadung,3453,8904
32.73.25,Cibiru,32.73.25.1001,Cisurupan,2740,7418
32.73.25,Cibiru,32.73.25.1004,Palasari,2678,6649
32.73.25,Cibiru,32.73.25.1002,Pasir Biru,2304,5811
32.73.06,Cicendo,32.73.06.1002,Arjuna,1453,3695
32.73.06,Cicendo,32.73.06.1001,Husein Sastranegara,2618,7459
32.73.06,Cicendo,32.73.06.1003,Pajajaran,4020,11237
32.73.06,Cicendo,32.73.06.1005,Pamoyanan,726,1803
32.73.06,Cicendo,32.73.06.1004,Pasirkaliki,1055,2854
32.73.06,Cicendo,32.73.06.1006,Sukaraja,2091,5244
32.73.08,Cidadap,32.73.08.1002,Ciumbuleuit,2901,7720
32.73.08,Cidadap,32.73.08.1001,Hegarmanah,2337,6335
32.73.08,Cidadap,32.73.08.1003,Ledeng,1294,3099
32.73.29,Cinambo,32.73.29.1004,Babakan Penghulu,982,2531
32.73.29,Cinambo,32.73.29.1002,Cisaranten Wetan,1065,2958
32.73.29,Cinambo,32.73.29.1003,Pakemitan,672,1633
32.73.29,Cinambo,32.73.29.1001,Sukamulya,835,2305
32.73.02,Coblong,32.73.02.1001,Cipaganti,1903,4883
32.73.02,Coblong,32.73.02.1004,Dago,4893,13647
32.73.02,Coblong,32.73.02.1002,Lebak Gede,1157,2818
32.73.02,Coblong,32.73.02.1006,Lebak Siliwangi,620,1646
32.73.02,Coblong,32.73.02.1003,Sadang Serang,3551,9907
32.73.02,Coblong,32.73.02.1005,Sekeloa,2729,7086
32.73.27,Gedebage,32.73.27.1001,Cimencrang,717,1831
32.73.27,Gedebage,32.73.27.1002,Cisaranten Kidul,2147,5237
32.73.27,Gedebage,32.73.27.1003,Rancabolang,968,2493
32.73.27,Gedebage,32.73.27.1004,Rancanumpang,522,1410
32.73.16,Kiaracondong,32.73.16.1005,Babakan Sari,5635,14763
32.73.16,Kiaracondong,32.73.16.1003,Babakan Surabaya,3566,9558
32.73.16,Kiaracondong,32.73.16.1004,Cicaheum,2871,7721
32.73.16,Kiaracondong,32.73.16.1002,Kebon Jayanti,2154,5958
32.73.16,Kiaracondong,32.73.16.1006,Kebon Kangkung,1971,5086
32.73.16,Kiaracondong,32.73.16.1001,Sukapura,4690,12713
32.73.13,Lengkong,32.73.13.1003,Burangrang,1264,3438
32.73.13,Lengkong,32.73.13.1001,Cijagra,821,2207
32.73.13,Lengkong,32.73.13.1007,Cikawao,1584,4410
32.73.13,Lengkong,32.73.13.1002,Lingkar Selatan,617,1452
32.73.13,Lengkong,32.73.13.1006,Malabar,925,2457
32.73.13,Lengkong,32.73.13.1004,Paledang,969,2636
32.73.13,Lengkong,32.73.13.1005,Turangga,671,1760
32.73.30,Mandalajati,32.73.30.1001,Jatihandap,3994,10766
32.73.30,Mandalajati,32.73.30.1002,Karang Pamulang,2582,6527
32.73.30,Mandalajati,32.73.30.1003,Pasir Impun,2241,6054
32.73.30,Mandalajati,32.73.30.1004,Sindang Jaya,2011,5553
32.73.28,Panyileukan,32.73.28.1004,Cipadung Kidul,813,2009
32.73.28,Panyileukan,32.73.28.1003,Cipadung Kulon,1865,4993
32.73.28,Panyileukan,32.73.28.1001,Cipadung Wetan,811,2270
32.73.28,Panyileukan,32.73.28.1002,Mekar Mulya,564,1290
32.73.23,Rancasari,32.73.23.1001,Cipamokolan,1794,4540
32.73.23,Rancasari,32.73.23.1002,Derwati,2697,7327
32.73.23,Rancasari,32.73.23.1003,Manjahlega,1443,3832
32.73.23,Rancasari,32.73.23.1004,Mekar Jaya,1654,4183
32.73.11,Regol,32.73.11.1002,Ancol,1071,2799
32.73.11,Regol,32.73.11.1004,Balong Gede,773,1909
32.73.11,Regol,32.73.11.1006,Ciateul,640,1596
32.73.11,Regol,32.73.11.1001,Cigereleng,961,2481
32.73.11,Regol,32.73.11.1005,Ciseureuh,2213,5695
32.73.11,Regol,32.73.11.1007,Pasirluyu,2533,6613
32.73.11,Regol,32.73.11.1003,Pungkur,848,2206
32.73.07,Sukajadi,32.73.07.1002,Cipedes,4542,13111
32.73.07,Sukajadi,32.73.07.1001,Pasteur,2256,6097
32.73.07,Sukajadi,32.73.07.1005,Sukabungah,3473,9922
32.73.07,Sukajadi,32.73.07.1004,Sukagalih,2785,8283
32.73.07,Sukajadi,32.73.07.1003,Sukawarna,1578,4341
32.73.01,Sukasari,32.73.01.1002,Gegerkalong,2179,5664
32.73.01,Sukasari,32.73.01.1003,Isola,1433,3840
32.73.01,Sukasari,32.73.01.1004,Sarijadi,2209,5723
32.73.01,Sukasari,32.73.01.1001,Sukarasa,1638,4523
32.73.19,Sumur Bandung,32.73.19.1004,Babakan Ciamis,866,2236
32.73.19,Sumur Bandung,32.73.19.1001,Braga,636,1689
32.73.19,Sumur Bandung,32.73.19.1003,Kebon Pisang,1227,3298
32.73.19,Sumur Bandung,32.73.19.1002,Merdeka,436,900
32.73.26,Ujungberung,32.73.26.1004,Cigending,2518,6484
32.73.26,Ujungberung,32.73.26.1007,Pasanggrahan,3058,7532
32.73.26,Ujungberung,32.73.26.1003,Pasir Endah,1942,5168
32.73.26,Ujungberung,32.73.26.1006,Pasirjati,2805,7163
32.73.26,Ujungberung,32.73.26.1005,Pasir Wangi,3034,8197